"Target","Result","Left","Right","Condition","Regex","Explanation","Date","LangueDepart","LangueDestination"
"x","j","","{s,t}","","","x+ t,s > j","260","latin phonétique","français"
"tʃ̬","tʃ","","","","","tʃ̬ > tʃ","270","latin phonétique","français"
"u","o","!a","!ː !#","","","internal u>o","300","latin phonétique","français"
"ˈɔ","ˈuɔ","","{C?̬?r?V,#}","","","accentuated ɔ open syllable> ˈuɔ","300","latin phonétique","français"
"ɛ","e","#C","","","","ɛ>e initial unaccentuated syllable","300","latin phonétique","français"
"ɔ","o","#C","","","","ɔ>e initial unaccentuated syllable","300","latin phonétique","français"
"g","γ","V̯?","ˈ?V","","","intervocalic g>γ","300","latin phonétique","français"
"ll","l","aːoːeːiːuː","","","","simplification of double ll after long vowels","300","latin phonétique","français"
"m","mb","","LIQ","","","m+r,l > mbr or mbl","300","latin phonétique","français"
"n","nd","","r","","","n+r > ndr","300","latin phonétique","français"
"s","st","","r","","","s+r > str","300","latin phonétique","français"
"z","zd","","r","","","z+r > zdr","300","latin phonétique","français"
"l","ld","","r","","","l+r > ldr","300","latin phonétique","français"
"js̬","jz̬","","","","","js̬ > jz̬","300","latin phonétique","français"
"rj","jr̬","","","","","r + j > jr̬","300","latin phonétique","français"
"ˈɛ","ˈiɛ̯","","jC","","","ˈɛ+j closed syllable> ˈiɛ̯","350","latin phonétique","français"
"ˈɔ","ˈuɔ̯","","jC","","","ˈɔ+j closed syllable> ˈuɔ̯","350","latin phonétique","français"
"ˈɔ","ˈuɔ","","{l,n}̬","","","ˈɔ + l̬ or n̬ > ˈuɔ","350","latin phonétique","français"
"ˈɛ","ˈiɛ","","{l,n}̬","","","ˈɛ + l̬ or n̬ > ˈiɛ","350","latin phonétique","français"
"pr","br","V̯?","ˈ?V","","","intervocalic pr>br","350","latin phonétique","français"
"tr","dr","V̯?","ˈ?V","","","intervocalic tr>dr","350","latin phonétique","français"
"k","g","V̯?","ˈ?V","","","intervocalic k>g","350","latin phonétique","français"
"jts̬","jdz̬","aeouiyɛɔə","aeouiyɛɔə","","","intervocalic jts̬ >jdz̬","350","latin phonétique","français"
"kr","gr","V","ˈ?V","","","intervocalic kr > gr","350","latin phonétique","français"
"gr","γr","V","ˈ?V","","","intervocalic gr > γr","360","latin phonétique","français"
"γr","jr̬","V","ˈ?V","","","intervocalic γr > jr̬","370","latin phonétique","français"
"V","","ˈV C+","C+V","","","unaccentuated penultieme vowel > zero","380","latin phonétique","français"
"p","b","V̯?","ˈ?V","","","intervocalic p>b","390","latin phonétique","français"
"t","d","V̯?","ˈ?V","","","intervocalic t>d","390","latin phonétique","français"
"s","z","V̯?","ˈ?V","","","intervocalic s>z","390","latin phonétique","français"
"u","o","","!ː #","","","final u>o","400","latin phonétique","français"
"uː","u","","","","","uː>u","400","latin phonétique","français"
"b","β","V̯?","ˈ?V","","","intervocalic b>β","400","latin phonétique","français"
"br","βr","V̯?","ˈ?V","","","intervocalic br>βr","400","latin phonétique","français"
"g","γ","V̯?","ˈ?V","","","intervocalic g>γ","400","latin phonétique","français"
"w","gw","","","","","w>gw (germanic w)","400","latin phonétique","français"
"l","ɫ","","C_SANS_L","","","l>ɫ  before consonant","400","latin phonétique","français"
"k","k̬","C?","ˈ? a","","","k+a>k̬ initial or after consonant","400","latin phonétique","français"
"g","g̬","C?","a","","","g+a>g̬ initial or after consonant","400","latin phonétique","français"
"βr","vr","V̯?","ˈ?V","","","intervocalic βr>vr","401","latin phonétique","français"
"k̬","t̬","C?","ˈ? a","","","k̬+a > t̬ initial or after consonant","410","latin phonétique","français"
"g̬","d̬","C?","a","","","g̬+a > d̬ initial or after consonant","410","latin phonétique","français"
"C_SANS_BTD","","C","C","","","central of 3 consonants out","410","latin phonétique","français"
"mt","nt","","","","","mt>nt","420","latin phonétique","français"
"t̬","tʃ̬","C?","ˈ? a","","","t̬+a > tʃ̬ initial or after consonant","420","latin phonétique","français"
"d̬","dʒ̬","C?","a","","","d̬+a > dʒ̬ initial or after consonant","420","latin phonétique","français"
"β","v","V̯?","ˈ?V","","","intervocalic β>v","450","latin phonétique","français"
"γ","","V̯?","ˈ?{o,u,ɔ}","","","intervocalic γ>zero before o,u","450","latin phonétique","français"
"γ","j","V_ANT̯?","a","","","intervocalic γ>j before a and after e, i","450","latin phonétique","français"
"γ","","{o,u,ɔ}̯?","a","","","intervocalic γ>zero before a and after o, u","450","latin phonétique","français"
"au","ɔ","","","","","au>ɔ","490","latin phonétique","français"
"ˈe","ˈei̯","","{C?̬?r?V,#}","","","open syllable ˈe>ˈei̯","500","latin phonétique","français"
"ˈo","ˈou̯","","{C?̬?r?V,#}","","","open syllable ˈo>ˈou̯","500","latin phonétique","français"
"ˈa","ˈaɛ̯","","{C?̬?r?V,#}","","","open syllable ˈa>ˈaɛ̯","500","latin phonétique","français"
"a","e","#k","Cr?V","","","inital palatal+unaccentuated a open syllable > e","500","latin phonétique","français"
"ɔ","o","#C","","","","ɔ>e initial unaccentuated syllable","500","latin phonétique","français"
"a","ə","V C+","Cr?ˈV","","","internal a before accentuated syllable>ə","500","latin phonétique","français"
"V_SANS_A","","V{r,n,s}?C+","Cr?ˈV","","","internal vowels other than a before accentuated syllable>zero","500","latin phonétique","français"
"V_SANS_A","ə","V{r,n,s}?Cr+","Cr?ˈV","","","internal vowels other than a before accentuated syllable and after 2 consonants>ə","500","latin phonétique","français"
"d","δ","V̯?","ˈ?V","","","intervocalic d>δ","500","latin phonétique","français"
"dr","δr","V̯?","ˈ?V","","","intervocalic dr>δr","500","latin phonétique","français"
"ˈei̯","ˈi","̬","","","","ˈei̯ > ˈei̯ after palatal consonant","510","latin phonétique","français"
"ˈaɛ̯","ˈai̯","","N","","","ˈaɛ+n,m > ˈai̯","590","latin phonétique","français"
