"Pattern","Replacement","Explanation","Date"
"*dʰ","d","vieux-slave","-inf"
"*dʰ","d","avestique","-inf"
"*dʰ","-dh-","avestique","-inf"
"*dʰ","dh","sanskrit","-inf"
"*dʰ","t","tokharien","-inf"
"*dʰ","c","tokharien, avant palatale","-inf"
"*dʰ","t/d","hittite","-inf"
"*ḱ","κ (k)","grec ancien","-inf"
"*ḱ","c","latin","-inf"
"*ḱ","c","osque","-inf"
"*ḱ","c","gallois","-inf"
"*ḱ","-g-","gallois","-inf"
"*ḱ","ch","gallois, après r, l","-inf"
"*ḱ","g","gallois, avant r, l","-inf"
"*ḱ","c","gaulois","-inf"
"*ḱ","c","vieil irlandais","-inf"
"*ḱ","-ch-","vieil irlandais","-inf"
"*ḱ","h","gotique","-inf"
"*ḱ","-g-","gotique","-inf"
"*ḱ","h","norrois","-inf"
"*ḱ","-g-","norrois","-inf"
"*ḱ","h","vieux haut allemand","-inf"
"*ḱ","-g-","vieux haut allemand","-inf"
"*ḱ","h","anglo-saxon","-inf"
"*ḱ","-g-","anglo-saxon","-inf"
"*ḱ","-y-","anglo-saxon, après voyelle atone","-inf"
"*ḱ","ç-/c-","albanais","-inf"
"*ḱ","th","albanais","-inf"
"*ḱ","s","albanais, avant r, l","-inf"
"*ḱ","s","arménien classique","-inf"
"*ḱ","š","lituanien","-inf"
"*ḱ","s","letton","-inf"
"*ḱ","s","vieux-slave","-inf"
"*ḱ","s...š","avestique","-inf"
"*ḱ","ś","sanskrit","-inf"
"*ḱ","k","tokharien","-inf"
"*ḱ","ś1","tokharien","-inf"
"*ḱ","14","tokharien","-inf"
"*ḱ","k/g","hittite","-inf"
"*ḱ","s","hittite","-inf"
"*ǵ","γ (g)","grec ancien","-inf"
"*ǵ","g","latin","-inf"
"*ǵ","g","osque","-inf"
"*ǵ","g","gallois","-inf"
"*ǵ","i/Ø/ch","gallois, après r, l","-inf"
"*ǵ","","gallois, amuïssement, après n","-inf"
"*ǵ","g","gaulois","-inf"
"*ǵ","-g-/-Ø-","gaulois","-inf"
"*ǵ","g/c/x","gaulois, après r, l","-inf"
"*ǵ","g","vieil irlandais","-inf"
"*ǵ","g/c","vieil irlandais, après n","-inf"
"*ǵ","k","gotique","-inf"
"*ǵ","k","norrois","-inf"
"*ǵ","k","vieux haut allemand","-inf"
"*ǵ","hh","vieux haut allemand","-inf"
"*ǵ","k","anglo-saxon","-inf"
"*ǵ","ch","anglo-saxon, avant palatale","-inf"
"*ǵ","d","albanais","-inf"
"*ǵ","dh","albanais","-inf"
"*ǵ","-g-","albanais","-inf"
"*ǵ","c","arménien classique","-inf"
"*ǵ","ž","lituanien","-inf"
"*ǵ","z","letton","-inf"
"*ǵ","z","vieux-slave","-inf"
"*ǵ","z...ž","avestique","-inf"
"*ǵ","j","sanskrit","-inf"
"*ǵ","k","tokharien","-inf"
"*ǵ","ś","tokharien, avant palatale","-inf"
"*ǵ","k/g","hittite","-inf"
"*ǵʰ","k","grec ancien","-inf"
"*ǵʰ","g","grec ancien","-inf"
"*ǵʰ","kh","grec ancien","-inf"
"*ǵʰ","h","latin","-inf"
"*ǵʰ","h","osque","-inf"
"*ǵʰ","g","gallois","-inf"
"*ǵʰ","i/Ø/ch","gallois, après r, l","-inf"
"*ǵʰ","","gallois, amuïssement, après n","-inf"
"*ǵʰ","g","gaulois","-inf"
"*ǵʰ","-g-/-Ø-","gaulois","-inf"
"*ǵʰ","g/c/x","gaulois, après r, l","-inf"
"*ǵʰ","g","vieil irlandais","-inf"
"*ǵʰ","g/c","vieil irlandais, après n","-inf"
"*ǵʰ","g","gotique","-inf"
"*ǵʰ","g","norrois","-inf"
"*ǵʰ","g","vieux haut allemand","-inf"
"*ǵʰ","g","anglo-saxon","-inf"
"*ǵʰ","-y-/-w-","anglo-saxon","-inf"
"*ǵʰ","dh","albanais","-inf"
"*ǵʰ","-d-","albanais","-inf"
"*ǵʰ","j","arménien classique","-inf"
"*ǵʰ","-z-","arménien classique","-inf"
"*ǵʰ","ž","lituanien","-inf"
"*ǵʰ","z","letton","-inf"
"*ǵʰ","z","vieux-slave","-inf"
"*ǵʰ","z...ž","avestique","-inf"
"*ǵʰ","h","sanskrit","-inf"
"*ǵʰ","k","tokharien","-inf"
"*ǵʰ","ś","tokharien, avant palatale","-inf"
"*ǵʰ","k/g","hittite","-inf"
