"Pattern","Replacement","Explanation","Date"
"(ˈ[ɛɔ][wcpbtdkgmnfvszljrʀδŋçθx]+)[aeouiyɛɔə](?=[wcpbtdkgmnfvszljrʀδŋçθx]+[aeouiyɛɔə])","\1","unaccentuated penultieme vowel after ɛ, ɔ > zero","249"
"pç","t̬","pç > t̬","250"
"[bv]j","d̬","b,v + j > d̬","250"
"mj","nd̬","m + j > nd̬","250"
"(?<=p)ç","t̬","ç before p > t̬","250"
"(?<=[aeouiyɛɔə])(?)[kg]l(?=[aeouiyɛɔə])","l̬","intervocalic kl or gl > l̬","250"
"k([st])","x\1","k +t,s > x","250"
"t̬","tʃ̬","t̬ > tʃ̬","260"
"d̬","dʒ̬","d̬ > dʒ̬","260"
"x([st])","j\1","x+ t,s > j","260"
" tʃ̬"," tʃ","tʃ̬ > tʃ","270"
"(?<!a)u(?!ː)(?=.+)","o","internal u>o","300"
"ˈɔ(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈuɔ","accentuated ɔ open syllable> ˈuɔ","300"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])ɛ","\1e","ɛ>e initial unaccentuated syllable","300"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])ɔ","\1o","ɔ>e initial unaccentuated syllable","300"
"([aeouiyɛɔə]̯?)g(?=ˈ?[aeouiyɛɔə])","\1γ","intervocalic g>γ","300"
"(aːoːeːiːuː)ll","\1l","simplification of double ll after long vowels","300"
"m(?=[rl])","mb","m+r,l > mbr or mbl","300"
"n(?=r)","nd","n+r > ndr","300"
"s(?=r)","st","s+r > str","300"
"z(?=r)","zd","z+r > zdr","300"
"l(?=r)","ld","l+r > ldr","300"
"js̬","jz̬","js̬ > jz̬","300"
"rj","jr̬","r + j > jr̬","300"
"ˈɛ(?=j[wcpbtdkgmnfvszljrʀδŋçθx])","ˈiɛ̯","ˈɛ+j closed syllable> ˈiɛ̯","350"
"ˈɔ(?=j[wcpbtdkgmnfvszljrʀδŋçθx])","ˈuɔ̯","ˈɔ+j closed syllable> ˈuɔ̯","350"
"ˈɔ(?=[ln]̬)","ˈuɔ","ˈɔ + l̬ or n̬ > ˈuɔ","350"
"ˈɛ(?=[ln]̬)","ˈiɛ","ˈɛ + l̬ or n̬ > ˈiɛ","350"
"([aeouiyɛɔə]̯?)pr(?=ˈ?[aeouiyɛɔə])","\1br","intervocalic pr>br","350"
"([aeouiyɛɔə]̯?)tr(?=ˈ?[aeouiyɛɔə])","\1dr","intervocalic tr>dr","350"
"([aeouiyɛɔə]̯?)k(?=ˈ?[aeouiyɛɔə])","\1g","intervocalic k>g","350"
"(aeouiyɛɔə)jts̬(?=aeouiyɛɔə)","\1jdz̬","intervocalic jts̬ >jdz̬","350"
"(?<=[aeouiyɛɔə])kr(?=ˈ?[aeouiyɛɔə])","gr","intervocalic kr > gr","350"
"(?<=[aeouiyɛɔə])gr(?=ˈ?[aeouiyɛɔə])","γr","intervocalic gr > γr","360"
"(?<=[aeouiyɛɔə])γr(?=ˈ?[aeouiyɛɔə])","jr̬","intervocalic γr > jr̬","370"
"(ˈ[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]+)[aeouiyɛɔə](?=[wcpbtdkgmnfvszljrʀδŋçθx]+[aeouiyɛɔə])","\1","unaccentuated penultieme vowel > zero","380"
"([aeouiyɛɔə]̯?)p(?=ˈ?[aeouiyɛɔə])","\1b","intervocalic p>b","390"
"([aeouiyɛɔə]̯?)t(?=ˈ?[aeouiyɛɔə])","\1d","intervocalic t>d","390"
"([aeouiyɛɔə]̯?)s(?=ˈ?[aeouiyɛɔə])","\1z","intervocalic s>z","390"
"u(?!ː)$","o","final u>o","400"
"uː","u","uː>u","400"
"([aeouiyɛɔə]̯?)b(?=ˈ?[aeouiyɛɔə])","\1β","intervocalic b>β","400"
"([aeouiyɛɔə]̯?)br(?=ˈ?[aeouiyɛɔə])","\1βr","intervocalic br>βr","400"
"([aeouiyɛɔə]̯?)g(?=ˈ?[aeouiyɛɔə])","\1γ","intervocalic g>γ","400"
"w","gw","w>gw (germanic w)","400"
"l(?=[wcpbtdkgmnfvszjrʀδŋçθx])","ɫ","l>ɫ  before consonant","400"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)k(ˈ?)(?=a)","\1k̬\2","k+a>k̬ initial or after consonant","400"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)g(?=a)","\1g̬","g+a>g̬ initial or after consonant","400"
"([aeouiyɛɔə]̯?)βr(?=ˈ?[aeouiyɛɔə])","\1vr","intervocalic βr>vr","401"
"([wcpbtdkgmnfvszljrʀδŋçθx])[wcpkgmnfvszljrʀδŋçθx]([wcpbtdkgmnfvszljrʀδŋçθx])","\1\2","central of 3 consonants out","410"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)k̬(ˈ?)(?=a)","\1t̬\2","k̬+a > t̬ initial or after consonant","410"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)g̬(?=a)","\1d̬","g̬+a > d̬ initial or after consonant","410"
"mt","nt","mt>nt","420"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)t̬(ˈ?)(?=a)","\1tʃ̬\2","t̬+a > tʃ̬ initial or after consonant","420"
"([wcpbtdkgmnfvszljrʀδŋçθx]?)d̬(?=a)","\1dʒ̬","d̬+a > dʒ̬ initial or after consonant","420"
"([aeouiyɛɔə]̯?)β(?=ˈ?[aeouiyɛɔə])","\1v","intervocalic β>v","450"
"([aeouiyɛɔə]̯?)γ(?=ˈ?[ouɔ])","\1","intervocalic γ>zero before o,u","450"
"([eiɛ]̯?)γ(?=a)","\1j","intervocalic γ>j before a and after e, i","450"
"([ouɔ]̯?)γ(?=a)","\1","intervocalic γ>zero before a and after o, u","450"
"au","ɔ","au>ɔ","490"
"ˈe(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈei̯","open syllable ˈe>ˈei̯","500"
"ˈo(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈou̯","open syllable ˈo>ˈou̯","500"
"ˈa(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈaɛ̯","open syllable ˈa>ˈaɛ̯","500"
"(^k)a(?=[wcpbtdkgmnfvszljrʀδŋçθx]r?[aeouiyɛɔə])","\1e","inital palatal+unaccentuated a open syllable > e","500"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])ɔ","\1o","ɔ>e initial unaccentuated syllable","500"
"([aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]+)a(?=[wcpbtdkgmnfvszljrʀδŋçθx]r?ˈ[aeouiyɛɔə])","\1ə","internal a before accentuated syllable>ə","500"
"([aeouiyɛɔə][rns]?[wcpbtdkgmnfvszljrʀδŋçθx]+)[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]r?ˈ[aeouiyɛɔə])","(\1)","internal vowels other than a before accentuated syllable>zero","500"
"([aeouiyɛɔə][rns]?[wcpbtdkgmnfvszljrʀδŋçθx]r+)[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]r?ˈ[aeouiyɛɔə])","(\1)ə","internal vowels other than a before accentuated syllable and after 2 consonants>ə","500"
"([aeouiyɛɔə]̯?)d(?=ˈ?[aeouiyɛɔə])","\1δ","intervocalic d>δ","500"
"([aeouiyɛɔə]̯?)dr(?=ˈ?[aeouiyɛɔə])","\1δr","intervocalic dr>δr","500"
"(?<=̬)ˈei̯","ˈi","ˈei̯ > ˈei̯ after palatal consonant","510"
"ˈaɛ̯(?=[nm])","ˈai̯","ˈaɛ+n,m > ˈai̯","590"
"ˈiɛ(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈie","open syllable ˈiɛ>ˈie","600"
"ˈuɔ(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈuo","open syllable ˈuɔ>uˈo","600"
"ˈaɛ̯(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈɛ","open syllable ˈaɛ̯>ˈɛ","600"
"ˈiɛ̯(?=j[wcpbtdkgmnfvszljrʀδŋçθx])","ˈie̯","ˈiɛ̯+j closed syllable>ˈie̯","600"
"ˈuɔ̯(?=j[wcpbtdkgmnfvszljrʀδŋçθx])","ˈuo̯","ˈuɔ̯+j closed syllable>ˈuo̯","600"
"a(?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","ə","final a>ə","600"
"(?<=[wcpbtdkgmnfvszjrʀδŋçθx][lrmn])[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","ə","Vowel in final syllable other than a after cons+l,r,m,n>ə","600"
"(?<![wcpbtdkgmnfvszjrʀδŋçθx][lrmn])[eouɛɔ](?=[wcpbtdkgmnfvszljrʀδŋçθx]?$)","","Vowel in final syllable other than a>zero","600"
"[dδ]s$","ts","d, δ before s final>t","600"
"[pv](?=[st])","f","p, v before s, t >f","600"
"m(?=[st])","n","m before s, t >n","600"
"([wcpbtdkgmnfvszljrʀδŋçθx]̬?)\1","\1","simplification of double consonants","600"
"ts̬","ts","ts̬ > ts","600"
"(wcpbtdkgmnfvszljrʀδŋçθx)ts̬","\1ts","ts̬ > ts after consonants","600"
"(aeouiyɛɔə)jdz̬(?=aeouiyɛɔə)","\1i̬dz","intervocalic jdz̬ >i̬dz","600"
"dʒ̬","dʒ","dʒ̬ > dʒ","600"
"tʃ̬","tʃ","tʃ̬ > tʃ","600"
"jz̬","i̯z","jz̬ > i̯z","600"
"js̬s̬","i̯z","js̬s̬ > i̯s","600"
"jr̬","i̯r","jr̬ > i̯r","600"
"l̬s","l̬ts","l̬s>l̬ts","610"
"[tdδ](?=t)","t","t, d, δ before t>tt","610"
"n̬$","i̯n̬","final n̬ > i̯n̬","610"
"l̬ts","ɫts","l̬ts>ɫts","620"
"tt","t","tt>t","620"
"ɛ(?=[nm])","e","ɛ+n,m > e","650"
"ɔ(?=[nm])","o","ɔ+n,m > o","650"
"b$","p","final b>p","650"
"d$","t","final d>t","650"
"g$","k","final g>k","650"
"δ$","θ","final δ>θ","650"
"v$","f","final v>f","650"
"z$","s","final z>s","650"
"([wcpbtdkgmnfvszljrʀδŋçθx]ˈ?)u(?=[wcpbtdkgmnfvszljrʀδŋçθx])","\1y","u>y","700"
"l(?=[wcpbtdkgmnfvszjrʀδŋçθx])","ɫ","l>ɫ  before consonant","700"
"ˈie̯j(?=[wcpbtdkgmnfvszljrʀδŋçθx])","ˈi","ˈie̯j closed syllable>ˈi","800"
"ˈuo̯j(?=[wcpbtdkgmnfvszljrʀδŋçθx])","ˈyi̯","ˈuo̯j closed syllable>ˈyi̯","800"
"([aeouiyɛɔə]̯?)[tθ]$","\1","final t or θ after vowel>zero","800"
"([aeouiyɛɔə]̯?)δ(?=ˈ?[aeouiyɛɔə])","\1","intervocalic δ>zero","800"
"([aeouiyɛɔə]̯?)δr(?=ˈ?[aeouiyɛɔə])","\1r","intervocalic δr>r","800"
"f(=[st])","","f before s, t >zero","800"
"([aeouiyɛɔə])j(?=[aeouiyɛɔə])","\1i̯","diphtongaison of intervocalic j","800"
"(?<=[aeouiyɛɔə])jr̬(?=ˈ?[aeouiyɛɔə])","i̯r","intervocalic jr̬ > i̯r","800"
"j([st])","i̯\1","j+ t,s > i̯","800"
"ˈai̯(?=[nm])","ˈaĩ̯","ˈai̯+n,m > ˈaĩ̯","900"
"ˈei̯(?=[nm])","ˈeĩ̯","ˈei̯+n,m > ˈeĩ̯","900"
"ˈou̯(?=[nm])","ˈoũ̯","ˈou̯ + n,m> ˈoũ̯","900"
"ˈie(?=[nm])","ˈiẽ","ˈie + n,m> ˈiẽ","900"
"ˈuo(?=[nm])","ˈuõ","ˈuo + n,m> ˈuõ","900"
"ˈoi̯(?=[nm])","ˈoĩ̯","ˈoi̯ + n,m> ˈoĩ̯","900"
"m$","n","final m>n in monosyllabic","900"
"ˈɛ(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈe","open syllable ˈɛ>ˈe","1000"
"(^k)e(?=[wcpbtdkgmnfvszljrʀδŋçθx]r?[aeouiyɛɔə])","\1ə","inital palatal+unaccentuatede open syllable > ə","1000"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])a(?=ˈ?[aeouiyɛɔə])","\1ə","a in hiatus initial unaccentuated syllable>ə","1000"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])e(?=[wcpbtdkgmnfvszljrʀδŋçθx]ˈ[aeouiyɛɔə])","\1ə","e>ə initial unaccentuated free syllable","1000"
"a(?=[nm])","ɑ̃","a+n,m > ɑ̃","1000"
"e(?=[nm])","ẽ","e+n,m > ẽ","1000"
"ˈaĩ̯","ˈãĩ̯","ˈaĩ̯ > ˈãĩ̯","1000"
"ˈeĩ̯","ˈẽĩ̯","ˈeĩ̯ > ˈẽĩ̯","1000"
"ˈuõ(?=[nm])","ˈyẽ","ˈuõ > ˈyẽ","1000"
"gw","g","gw>g (germanic gw)","1000"
"([wcpbtdkgmnfvszljrʀδŋçθx]|^)kʷ","\1k","kʷ>k initial or after consonant","1000"
"([wcpbtdkgmnfvszljrʀδŋçθx])gʷ","\1g","gʷ>g after consonant","1000"
"ɫ(?=[wcpbtdkgmnfvszljrʀδŋçθx])","u̯","ɫ >u̯ before consonant","1000"
"ˈɛu̯(?=[wcpbtdkgmnfvszljrʀδŋçθx])","ˈɛau̯","ˈɛu̯ before consonant > ˈɛau̯","1010"
"ɫ(?=[wcpbtdkgmnfvszljrʀδŋçθx])","u̯","ɫ >u̯ before consonant","1010"
"(?<=[iy])u̯","","u̯>zero after i or y","1020"
"ˈou̯(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈeu̯","open syllable ˈou̯>ˈeu̯","1050"
"(?<!ˈi)ẽ","ɑ̃","ẽ without ˈi before> ɑ̃","1050"
"z(?=[bdgvmln])","","disparition of z before sonore consonants","1050"
"ˈo(?=[rs][wcpbtdkgmnfvszljrʀδŋçθx])","ˈu","accentuated o in closed syllable> u","1100"
"ˈɔ[sz](?=[wcpbtdkgmnfvszljrʀδŋçθx]?)","ˈo","accentuated ɔ before s,z> o, s out","1100"
"ˈɔ(?=[sz][wcpbtdkgmnfvszljrʀδŋçθx]ə)","ˈu","accentuated ɔ before s,z and ə> u","1100"
"ˈuo(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈue","open syllable ˈuo>ˈue","1100"
"(ˈ?)ei̯","\1ɔi̯","ei̯>ɔi̯","1100"
"ˈeu̯(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈøu̯","open syllable ˈeu̯>ˈøu̯","1100"
"ai̯","ɛi̯","ai̯ >ɛi̯","1100"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])e(?=[wcpbtdkgmnfvszljrʀδŋçθx]{2})","\1ɛ","e>ɛ initial unaccentuated not free syllable","1100"
"ˈãĩ̯","ˈẽĩ̯","ˈãĩ̯ > ˈẽĩ̯","1100"
"ˈãĩ̯","ˈẽĩ̯","ˈãĩ̯ > ˈẽĩ̯","1100"
"ˈoũ̯(?=[nm])","ˈõ","ˈoũ̯ > ˈõ","1100"
"ˈoĩ̯","ˈõĩ̯","ˈõĩ̯> ˈõĩ̯","1100"
"e(?=u̯[wcpbtdkgmnfvszljrʀδŋçθx])","œ","eu̯ before consonant > œu̯","1100"
"([oɔ])u̯(?=[wcpbtdkgmnfvszljrʀδŋçθx])","u","ou̯ or ɔu̯ before consonant > u","1100"
"ˈɔ(?=s[wcpbtdkgmnfvszljrʀδŋçθx])","ˈo","accentuated ɔ before s+consonant> o","1110"
"ɛi̯","ɛ","ɛi̯ > ɛ","1110"
"([wcpbtdkgmnfvszljrʀδŋçθx])[wcpkgmnfvszljrʀδŋçθx]([wcpbtdkgmnfvszljrʀδŋçθx])","\1\2","central of 3 consonants out","1110"
"ˈue(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈyø","open syllable ˈue>ˈyø","1150"
"(ˈ?)ɔi̯","\1ue","ɔi̯>ue","1150"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])o(?![̃])","\1u","o>u initial unaccentuated syllable","1150"
"o(?=[nm])","õ","o+n,m > õ","1150"
"ˈiẽ(?=[nm])","jˈẽ","ˈiẽ > jˈẽ","1150"
"yˈẽ(?=[nm])","ɥˈẽ","yˈẽ > ɥˈẽ","1150"
"ˈõĩ̯","ˈũẽ","ˈõĩ̯> ˈũẽ","1150"
"(œ)u̯(?=[wcpbtdkgmnfvszljrʀδŋçθx])","\1","œu̯ before consonant > œ","1150"
"ˈɛau̯(?=[wcpbtdkgmnfvszljrʀδŋçθx])","ɛˈau̯","ˈɛau̯ before consonant > ɛˈau̯","1150"
"([wcpbtdkgmnfvszljrʀδŋçθx])t$","\1","final t after consonant>zero","1150"
"s(?=[ptkf])","","disparition of s before mute consonants","1150"
"ɥˈẽ(?=[nm])","ɥˈɛ̃","ɥˈẽ > ɥˈɛ̃","1160"
"ɛˈau̯(?=[wcpbtdkgmnfvszljrʀδŋçθx])","əˈau̯","ɛˈau̯ before consonant > əˈau̯","1160"
"ˈũẽ","wˈẽ","ˈũẽ> wˈẽ","1170"
"(?<!t)s$","","final s>zero, final ts preserved","1170"
"(.*[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]{1,2}[aeouiyɛɔə])[wcpbtdkgmnfvszljʀδŋçθx]$","\1","final consonant other than r>zero except monosyllabic","1190"
"ˈie(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈje","open syllable ie>je","1200"
"ˈyø(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈø","open syllable ˈyø>ˈø","1200"
"(ˈ?)ue","w\1e","ue>we","1200"
"ˈøu̯(?=[wcpbtdkgmnfvszljrʀδŋçθx]?̬?r?[aeouiyɛɔə]|$)","ˈø","open syllable ˈøu̯>ˈø","1200"
"yˈi̯(?=[wcpbtdkgmnfvszljrʀδŋçθx])","ɥˈi","yˈi̯>ɥˈi","1200"
"õ","ɔ̃","õ > ɔ̃","1200"
"i(?=[nm](?![aeouiyɛɔə]))","ĩ","i+n,m closed syllable> ĩ","1200"
"y(?=[nm](?![aeouiyɛɔə]))","ỹ","y+n,m closed syllable> ỹ","1200"
"ˈẽĩ̯","ˈẽ","ˈẽĩ̯ > ˈẽ","1200"
"ˈẽĩ̯","ˈẽ","ˈẽĩ̯ > ˈẽ","1200"
"õ","ɔ̃","õ > ɔ̃","1200"
"wˈẽ","wˈɛ̃","wˈẽ> wˈɛ̃","1200"
"ts$","s","ts>s final","1200"
"ts","s","ts > s","1200"
"(wcpbtdkgmnfvszljrʀδŋçθx)ts","\1s","ts > s after consonants","1200"
"(aeouiyɛɔə)i̬dz(?=aeouiyɛɔə)","\1i̬z","intervocalic i̬dz >i̬z","1200"
"dʒ","ʒ","dʒ > ʒ","1200"
"tʃ","ʃ","tʃ > ʃ","1200"
"(wˈ?)e","\1a","we>wa","1250"
"(^[wcpbtdkgmnfvszljrʀδŋçθx])ə(?=ˈ?[aeouiyɛɔə])","\1","ə in hiatus initial unaccentuated syllable>zero","1300"
"ĩ","ẽ","ĩ > ẽ","1300"
"ỹ","œ̃","ỹ > œ̃","1300"
"au̯","ao","au̯ > ao","1300"
"ˈau̯","ˈao","ˈau̯ > ˈao","1300"
"(.*[aeouiyɛɔə][wcpbtdkgmnfvszljrʀδŋçθx]{1,2}[aeouiyɛɔə])r$","","final r>zero except monosyllabic","1300"
"ə$","œ","final ə>œ","1400"
"ˈẽ","ˈɛ̃","ˈẽ > ˈɛ̃","1500"
"ˈẽ","ˈɛ̃","ˈẽ > ˈɛ̃","1500"
"jẽ","jɛ̃","jẽ > jɛ̃","1500"
"ao","o","ao > o","1500"
